fips,typology
01001,Working Class Country
01003,Rural Middle America
01005,African American South
01007,Evangelical Hubs
01009,Evangelical Hubs
01011,African American South
01013,African American South
01015,Working Class Country
01017,African American South
01019,Evangelical Hubs
01021,Evangelical Hubs
01023,African American South
01025,African American South
01027,Evangelical Hubs
01029,Evangelical Hubs
01031,Military Posts
01033,Working Class Country
01035,African American South
01037,Evangelical Hubs
01039,Evangelical Hubs
01041,Evangelical Hubs
01043,Evangelical Hubs
01045,Military Posts
01047,African American South
01049,Evangelical Hubs
01051,Evangelical Hubs
01053,African American South
01055,Evangelical Hubs
01057,Evangelical Hubs
01059,Evangelical Hubs
01061,Evangelical Hubs
01063,African American South
01065,African American South
01067,Working Class Country
01069,Working Class Country
01071,Evangelical Hubs
01073,African American South
01075,Evangelical Hubs
01077,Working Class Country
01079,Evangelical Hubs
01081,College Towns
01083,Evangelical Hubs
01085,African American South
01087,African American South
01089,College Towns
01091,African American South
01093,Evangelical Hubs
01095,Evangelical Hubs
01097,African American South
01099,African American South
01101,African American South
01103,Working Class Country
01105,African American South
01107,African American South
01109,African American South
01111,Evangelical Hubs
01113,African American South
01115,Evangelical Hubs
01117,Exurbs
01119,African American South
01121,African American South
01123,Working Class Country
01125,College Towns
01127,Evangelical Hubs
01129,Evangelical Hubs
01131,African American South
01133,Evangelical Hubs
02013,Native American Lands
02016,Native American Lands
02020,Military Posts
02050,Native American Lands
02060,Military Posts
02068,Military Posts
02070,Native American Lands
02090,Military Posts
02100,Graying America
02110,Military Posts
02122,Graying America
02130,Exurbs
02150,Military Posts
02164,Native American Lands
02170,Exurbs
02180,Native American Lands
02185,Native American Lands
02188,Native American Lands
02220,Military Posts
02240,Military Posts
02261,Native American Lands
02270,Military Posts
02282,Military Posts
02290,Native American Lands
04001,Native American Lands
04003,Military Posts
04005,College Towns
04007,Graying America
04009,Native American Lands
04011,Hispanic Centers
04012,Graying America
04013,Big Cities
04015,Graying America
04017,Native American Lands
04019,Big Cities
04021,Exurbs
04023,Hispanic Centers
04025,Graying America
04027,Hispanic Centers
05001,Working Class Country
05003,Evangelical Hubs
05005,Graying America
05007,Urban Burbs
05009,Evangelical Hubs
05011,African American South
05013,Evangelical Hubs
05015,Rural Middle America
05017,African American South
05019,College Towns
05021,Evangelical Hubs
05023,Evangelical Hubs
05025,Evangelical Hubs
05027,African American South
05029,Working Class Country
05031,College Towns
05033,Evangelical Hubs
05035,African American South
05037,Evangelical Hubs
05039,African American South
05041,African American South
05043,Working Class Country
05045,College Towns
05047,Evangelical Hubs
05049,Evangelical Hubs
05051,Working Class Country
05053,Evangelical Hubs
05055,Evangelical Hubs
05057,African American South
05059,Evangelical Hubs
05061,Evangelical Hubs
05063,Evangelical Hubs
05065,Evangelical Hubs
05067,Evangelical Hubs
05069,African American South
05071,Evangelical Hubs
05073,African American South
05075,Evangelical Hubs
05077,African American South
05079,Evangelical Hubs
05081,Working Class Country
05083,Evangelical Hubs
05085,Working Class Country
05087,Evangelical Hubs
05089,Evangelical Hubs
05091,Evangelical Hubs
05093,African American South
05095,African American South
05097,Evangelical Hubs
05099,African American South
05101,Evangelical Hubs
05103,African American South
05105,Evangelical Hubs
05107,African American South
05109,Evangelical Hubs
05111,Evangelical Hubs
05113,Evangelical Hubs
05115,Working Class Country
05117,Evangelical Hubs
05119,African American South
05121,Evangelical Hubs
05123,African American South
05125,Exurbs
05127,Evangelical Hubs
05129,Evangelical Hubs
05131,Working Class Country
05133,Hispanic Centers
05135,Evangelical Hubs
05137,Evangelical Hubs
05139,African American South
05141,Evangelical Hubs
05143,College Towns
05145,Working Class Country
05147,African American South
05149,Evangelical Hubs
06001,Big Cities
06003,Graying America
06005,Graying America
06007,College Towns
06009,Graying America
06011,Hispanic Centers
06013,Urban Burbs
06015,Graying America
06017,Exurbs
06019,Hispanic Centers
06021,Hispanic Centers
06023,College Towns
06025,Hispanic Centers
06027,Graying America
06029,Hispanic Centers
06031,Hispanic Centers
06033,Graying America
06035,Graying America
06037,Big Cities
06039,Hispanic Centers
06041,Urban Burbs
06043,Graying America
06045,Graying America
06047,Hispanic Centers
06049,Graying America
06051,Graying America
06053,Hispanic Centers
06055,Exurbs
06057,Graying America
06059,Urban Burbs
06061,Exurbs
06063,Graying America
06065,Hispanic Centers
06067,Big Cities
06069,Hispanic Centers
06071,Hispanic Centers
06073,Big Cities
06075,Big Cities
06077,Hispanic Centers
06079,Exurbs
06081,Urban Burbs
06083,Exurbs
06085,Big Cities
06087,Urban Burbs
06089,Graying America
06091,Graying America
06093,Graying America
06095,Exurbs
06097,Urban Burbs
06099,Hispanic Centers
06101,Hispanic Centers
06103,Graying America
06105,Graying America
06107,Hispanic Centers
06109,Graying America
06111,Urban Burbs
06113,College Towns
06115,Hispanic Centers
08001,Exurbs
08003,Hispanic Centers
